"No.","Disease 1","Disease 2","Prevalence (%)","Reference"
"1","Hypertension","High Cholesterol","12.4","CDC 2020"
"2","Hypertension","Arthritis","9.6","CDC 2020"
"3","Hypertension","Diabetes","6.6","CDC 2020"
"4","Hypertension","Heart Disease","6.1","CDC 2020"
"5","Hypertension","Cancer","5.3","CDC 2020"
"6","Hypertension","Asthma","4.5","CDC 2020"
"7","Hypertension","COPD","3.8","CDC 2020"
"8","Hypertension","Stroke","2.7","CDC 2020"
"9","Hypertension","Kidney Disease","2.6","CDC 2020"
"10","Hypertension","Depression","7.5","CDC 2020"
"11","High Cholesterol","Arthritis","7.9","CDC 2020"
"12","High Cholesterol","Diabetes","5.7","CDC 2020"
"13","High Cholesterol","Heart Disease","5.4","CDC 2020"
"14","High Cholesterol","Cancer","4.1","CDC 2020"
"15","High Cholesterol","Asthma","3.5","CDC 2020"
"16","High Cholesterol","COPD","2.3","CDC 2020"
"17","High Cholesterol","Stroke","1.7","CDC 2020"
"18","High Cholesterol","Kidney Disease","1.6","CDC 2020"
"19","High Cholesterol","Depression","4.8","CDC 2020"
"20","Arthritis","Diabetes","3.8","CDC 2020"
"21","Arthritis","Heart Disease","6.7","CDC 2020"
"22","Arthritis","Cancer","4.3","CDC 2020"
"23","Arthritis","Asthma","4.3","CDC 2020"
"24","Arthritis","COPD","2.7","CDC 2020"
"25","Arthritis","Stroke","2.2","CDC 2020"
"26","Arthritis","Kidney Disease","2.0","CDC 2020"
"27","Arthritis","Depression","6.2","CDC 2020"
"28","Diabetes","Heart Disease","3.6","CDC 2020"
"29","Diabetes","Cancer","2.6","CDC 2020"
"30","Diabetes","Asthma","1.9","CDC 2020"
"31","Diabetes","COPD","1.6","CDC 2020"
"32","Diabetes","Stroke","1.7","CDC 2020"
"33","Diabetes","Kidney Disease","1.8","CDC 2020"
"34","Diabetes","Depression","5.1","CDC 2020"
"35","Heart Disease","Cancer","3.3","CDC 2020"
"36","Heart Disease","Asthma","2.0","CDC 2020"
"37","Heart Disease","COPD","2.4","CDC 2020"
"38","Heart Disease","Stroke","2.7","CDC 2020"
"39","Heart Disease","Kidney Disease","2.3","CDC 2020"
"40","Heart Disease","Depression","4.2","CDC 2020"
"41","Cancer","Asthma","1.7","CDC 2020"
"42","Cancer","COPD","1.4","CDC 2020"
"43","Cancer","Stroke","1.2","CDC 2020"
"44","Cancer","Kidney Disease","1.3","CDC 2020"
"45","Cancer","Depression","3.5","CDC 2020"
"46","Asthma","COPD","1.5","CDC 2020"
"47","Asthma","Stroke","0.9","CDC 2020"
"48","Asthma","Kidney Disease","0.8","CDC 2020"
"49","Asthma","Depression","2.8","CDC 2020"
"50","COPD","Stroke","0.9","CDC 2020"
"51","COPD","Kidney Disease","0.8","CDC 2020"
"52","COPD","Depression","2.5","CDC 2020"
"53","Stroke","Kidney Disease","0.7","CDC 2020"
"54","Stroke","Depression","1.4","CDC 2020"
"55","Kidney Disease","Depression","1.1","CDC 2020"
"56","Hypertension","Obesity","","Barnett"
"57","Hypertension","Depression","","Barnett"
"58","Hypertension","Pain","","Barnett"
"59","Diabetes","Obesity","","Barnett"
"60","Diabetes","Depression","","Barnett"
"61","Diabetes","Pain","","Barnett"
"62","Diabetes","COPD","","Barnett"
"63","Heart Disease","Obesity","","Barnett"
"64","Heart Disease","Depression","","Barnett"
"65","Heart Disease","Pain","","Barnett"
"66","Heart Disease","COPD","","Barnett"
"67","Heart Disease","Stroke","","Barnett"
"68","Heart Disease","Cancer","","Barnett"
"69","Cancer","Obesity","","Barnett"
"70","Cancer","Depression","","Barnett"
"71","Cancer","Pain","","Barnett"
"72","Cancer","COPD","","Barnett"
"73","Cancer","Stroke","","Barnett"
"74","Asthma","Obesity","","Barnett"
"75","Asthma","Depression","","Barnett"
"76","Asthma","Pain","","Barnett"
"77","Asthma","COPD","","Barnett"
"78","Asthma","Stroke","","Barnett"
"79","COPD","Obesity","","Barnett"
"80","COPD","Depression","","Barnett"
"81","COPD","Pain","","Barnett"
"82","COPD","Stroke","","Barnett"
"83","COPD","Cancer","","Barnett"
"84","Stroke","Obesity","","Barnett"
"85","Stroke","Depression","","Barnett"
"86","Stroke","Pain","","Barnett"
"87","Stroke","Cancer","","Barnett"
"88","Kidney Disease","Obesity","","Barnett"
"89","Kidney Disease","Depression","","Barnett"
"90","Kidney Disease","Pain","","Barnett"
"91","Kidney Disease","COPD","","Barnett"
"92","Kidney Disease","Stroke","","Barnett"
"93","Kidney Disease","Cancer","","Barnett"
"94","Depression","Obesity","","Barnett"
"95","Depression","Pain","","Barnett"
"96","Depression","Cancer","","Barnett"
"97","Pain","Obesity","","Barnett"
"98","Pain","Cancer","","Barnett"
"99","Pain","COPD","","Barnett"
"100","Pain","Stroke","","Barnett"
